"","gender","age","country","country_en","country_mi","ethniceng","ethnicmri","ethnicwsm","ethniccok","ethnicton","ethnicniu","ethnicchn","ethnicind","ethnicother","ethnicother_en","ethnicother_mi","languages","handed","height","rightfoot","armspan","wrist","neck","popliteal","indexfinger","ringfinger","hairlength","travel","timetravel","bagweightraw","bagweight","bagcarry","favlearning","favlearningmo","memory","reaction","sport","sport_en","techtv","techmp3","techinternet","techmobinternet","techfacebook","techtwitter","techbebo","techmyspace","techskype","techconsole","technone","cellmonths","onlinemusic","onlinevideo","onlinegame","onlinefriend","onlineschool","onlineother","onlinenone","bedtime","waketime","favtvshow","favtvshow_en","importwarm","importpollution","importrecycling","importwater","importlifestyle","importenergy","importgovern","importcomputer","region","year"
"21355","male","15","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","2","right","179","26","180","19","43","45","80","75","90","walk","2","10000","10000","two","health","health","61","0.374","Rugby","Rugby","yes","yes","yes","yes","yes","no","yes","no","no","yes","no","2","no","yes","yes","yes","yes","no","no","10:30:00","7:45:00","Footy show","NA","34","37","43","45","81","41","100","3",9,11
"3550","male","12","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","142","24","128","14","29","NA","61","64","102","bus","10","1000","1000","two","arts","social","34","0.39","Walking or hiking","Walking or hiking","no","yes","yes","no","yes","no","no","no","no","yes","no","2","no","no","yes","yes","no","no","no","8:15:00","7:15:00","The simpsons","The Simpsons","100","100","100","100","100","100","NA","NA",3,8
"8945","male","15","newzealand","NZL","NZL","no","no","no","no","no","no","no","yes","","","","2","right","176","27","NA","16","35","46","80","85","90","walk","20","25001","NA","two","technology","mathstats","46","0.297","Soccer","Soccer","no","yes","yes","yes","yes","no","yes","no","yes","yes","no","3","no","no","no","yes","yes","no","no","11:30:00","7:15:00","Naruto shippuden","Naruto","43","-36","-47","-46","-36","-48","-87","73",3,11
"872","female","10","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","NA","18","131","15","NA","NA","50","60","200","motor","9","0","0","two","NA","mathstats","55","NA","Cycling","Cycling","yes","yes","yes","no","no","no","no","no","yes","yes","no","12","yes","yes","yes","yes","yes","no","no","8:30:00","7:00:00","Victorious","Victorious","100","81","95","70","28","-93","-65","-93",14,6
"23973","female","12","Philippines","PHL","PHL","no","no","no","no","no","no","no","no","Filipino","Filipino","","2","right","150","22","138","15","33","NA","NA","NA","33","bike","15","2","NA","two","mathstats","arts","46","2.613","Netball","Netball","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","7","yes","yes","yes","yes","yes","no","no","11:15:00","7:30:00","The simpsons","The Simpsons","100","99","88","100","89","89","99","85",14,8
"3524","female","11","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","149","22","NA","NA","25","41","75","70","35","walk","3","4000","4000","one","technology","english","34","0.39","Netball","Netball","no","yes","yes","no","yes","yes","no","no","no","yes","no","NA","yes","yes","yes","yes","no","no","no","10:45:00","7:30:00","Friends","Friends","-77","-86","-96","NA","62","NA","NA","100",13,7
"6171","male","13","newzealand","NZL","NZL","yes","yes","no","no","no","no","no","no","","","","1","right","156","26","157","15","30","44","90","90","70","bus","20","15","NA","two","health","arts","49","0.416","Rugby","Rugby","yes","yes","yes","no","no","no","no","no","yes","yes","no","4","no","yes","yes","yes","yes","no","no","9:45:00","7:15:00","Wanna-ben","NA","5","11","-16","-23","19","5","49","100",3,8
"7236","female","14","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","157","21","157","16","34","38","90","80","420","bus","50","750","800","two","technology","english","43","0.379","Netball","Netball","yes","no","yes","no","yes","no","no","no","no","yes","no","8","no","no","no","yes","yes","no","no","9:30:00","6:45:00","Glee","Glee","64","49","-22","79","93","25","51","100",7,10
"24796","female","13","newzealand","NZL","NZL","no","no","no","no","yes","no","no","no","","","","2","right","165","21","NA","18","38","NA","NA","NA","49","motor","20","80","NA","two","arts","health","27","0.484","Netball","Netball","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","6","yes","yes","no","yes","yes","no","no","12:00:00","7:45:00","Glee","Glee","99","98","98","98","98","99","99","-46",3,9
"18749","male","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","159","25","159","16","33","45","75","70","55","walk","20","5700","5700","two","technology","mathstats","31","0.297","Racket sports (tennis, squash, badminton)","Racket sports (tennis, squash, badminton)","no","no","yes","no","no","no","no","no","yes","yes","no","NA","no","yes","yes","no","yes","yes","no","10:15:00","7:15:00","Family guy","Family Guy","10","-9","-24","-10","-9","5","-61","100",3,9
"6739","female","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","2","left","173","15","155","15","30","45","NA","NA","210","motor","30","7","NA","two","science","science","48","0.44","Netball","Netball","yes","yes","yes","no","yes","no","no","no","no","yes","no","36","yes","yes","yes","yes","yes","no","no","10:00:00","7:00:00","Pretty little liars","Pretty Little Liars","-1","-98","-93","-87","-16","-73","-75","100",6,9
"1348","male","11","newzealand","NZL","NZL","no","no","no","no","no","no","no","yes","","","","3","left","NA","26","177","17","35","50","NA","NA","94","bus","15","2500","2500","two","health","health","52","0.297","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","yes","yes","yes","yes","no","no","no","no","yes","yes","no","10","yes","yes","yes","yes","yes","no","no","9:30:00","6:45:00","Simpions","The Simpsons","45","58","34","100","55","45","74","4",3,7
"6629","female","11","newzealand","NZL","NZL","yes","yes","no","no","no","no","no","no","Tahiti","","NA","1","left","166","NA","158","17","32","45","89","89","NA","bus","10","NA","NA","two","health","languages","50","0.422","Netball","Netball","yes","yes","yes","no","yes","yes","no","no","yes","yes","no","12","yes","yes","yes","yes","yes","no","no","9:00:00","6:45:00","Vampire diares","The Vampire Diaries","-9","19","42","-3","100","-4","58","-4",3,7
"5457","female","12","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","","","","1","right","163","23","155","16","31","NA","80","70","70","bus","28","100","NA","one","arts","social","48","NA","Horse riding","Horse riding","no","yes","no","yes","yes","no","yes","no","no","no","no","4","yes","yes","no","yes","no","no","no","10:30:00","7:00:00","Mtv","MTV","100","100","100","100","100","100","100","100",6,8
"632","female","14","southafrica","ZAF","ZAF","no","no","no","no","no","no","no","no","south african","South African","","3","left","NA","23","80","25","39","52","90","90","47","bus","30","500","500","two","arts","science","29","0.563","Dancing","Dancing","no","no","yes","no","no","no","no","no","yes","yes","no","31","no","no","no","no","no","no","yes","9:45:00","6:45:00","Sticky tv","Sticky TV","-9","26","33","-23","43","36","18","23",3,10
"8496","male","11","newzealand","NZL","NZL","yes","yes","no","no","no","no","no","no","","","","1","right","143","22","142","16","30","37","70","68","80","bike","15","2600","2600","two","arts","arts","48","0.518","Cycling","Cycling","yes","yes","no","no","no","no","no","no","no","yes","no","NA","no","no","yes","yes","no","no","no","8:30:00","6:30:00","The simpsons","The Simpsons","-66","63","-21","-84","100","-65","-6","36",5,7
"7351","female","18","Sri Lanka","LKA","LKA","no","no","no","no","no","no","no","no","Sinhalese","","NA","2","right","151","NA","151","14","33","43","85","78","365","walk","15","12000","12000","two","mathstats","science","62","2.348","Cycling","Cycling","no","no","yes","no","yes","no","no","no","yes","no","no","22","no","yes","no","yes","yes","no","no","7:30:00","7:30:00","Master chef","Masterchef New Zealand","-1","0","-1","57","95","57","-42","97",7,13
"4541","male","12","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","","","","2","right","NA","24","NA","7","NA","NA","73","78","95","bus","60","200","NA","one","technology","arts","43","NA","Soccer","Soccer","no","yes","yes","yes","yes","yes","yes","no","yes","yes","no","2","no","yes","yes","yes","yes","no","no","9:30:00","7:15:00","Naruto","Naruto","-40","100","-5","53","100","-42","98","100",3,8
"8713","male","14","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","181","26","182","17","36","44","98","101","120","bus","42","2500","2500","two","technology","arts","45","0.343","Soccer","Soccer","no","yes","yes","yes","yes","no","no","no","yes","yes","no","3","yes","yes","yes","no","yes","no","no","22:30:00","6:30:00","Supernatural","Supernatural","-6","-24","-10","-5","-18","-11","-31","25",3,10
"8824","female","12","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","158","22","158","15","27","46","82","80","250","bus","60","5000","5000","one","arts","english","33","0.514","Dancing","Dancing","no","yes","yes","no","no","no","no","no","no","yes","no","4","no","no","yes","yes","yes","no","no","9:30:00","6:15:00","Glee","Glee","-38","49","98","7","52","52","-64","-29",14,9
"23056","male","11","newzealand","NZL","NZL","no","yes","no","yes","no","no","no","no","","","","NA","right","145","25","NA","NA","34","36","89","79","39","bus","10","19","NA","diagonal","health","health","56","0.858","Basketball","Basketball","yes","no","no","yes","yes","no","no","no","yes","yes","no","19","NA","NA","NA","NA","NA","NA","NA","8:30:00","7:00:00","South park and family guy","South Park","100","100","100","100","100","100","100","100",3,7
"23668","female","14","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","3","right","159","22","159","NA","31","41","90","90","210","bus","20","40","NA","two","arts","arts","39","0.509","Water sports (swimming, diving, surfing, canoeing, kayaking)","Water sports (swimming, diving, surfing, canoeing, kayaking)","no","yes","yes","yes","yes","yes","no","no","no","yes","no","16","yes","yes","yes","yes","yes","no","no","10:00:00","6:30:00","Rob dyrdek's fantasy factory","NA","-35","-28","-40","-6","49","-64","16","0",3,10
"11899","female","12","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","","","","2","right","NA","24","NA","18","36","44","85","75","24","motor","10","NA","NA","two","english","languages","36","0.343","Netball","Netball","yes","yes","yes","yes","yes","no","yes","no","yes","yes","no","7","no","yes","yes","yes","yes","no","no","10:30:00","NA","My wife and kids","My Wife and Kids","38","20","47","-20","57","-60","-32","24",3,10
"6941","male","11","newzealand","NZL","NZL","no","yes","no","no","yes","no","no","no","American","","NA","1","right","145","22","163","NA","NA","NA","60","65","54","bus","10","3000","3000","two","health","health","67","NA","Rugby","Rugby","yes","no","no","no","no","no","no","no","no","no","no","6","yes","yes","yes","no","no","no","yes","11:00:00","7:00:00","Simpsons","The Simpsons","57","-7","10","100","NA","100","43","100",5,7
"5838","male","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","NA","23","NA","15","28","23","90","80","110","walk","15","410","400","two","health","english","39","0.374","Skateboarding","Skateboarding","yes","yes","yes","yes","yes","no","yes","no","no","yes","no","4","yes","yes","yes","yes","no","no","no","10:00:00","7:15:00","Family guy","Family Guy","-2","-4","0","7","2","-1","0","100",2,9
"15799","female","11","newzealand","NZL","NZL","no","no","yes","yes","no","yes","no","no","","","","1","left","NA","16","176","7","NA","NA","NA","NA","7","motor","30","81","NA","diagonal","arts","social","60","0.472","Basketball","Basketball","yes","yes","no","no","yes","yes","yes","no","no","yes","no","3","no","no","yes","yes","no","no","no","10:30:00","7:30:00","Glee","Glee","71","2","-43","100","-69","100","53","100",3,7
"6104","female","12","newzealand","NZL","NZL","no","no","no","no","no","no","no","yes","","","","1","left","161","26","155","17","35","40","70","69","247","bus","30","300","300","two","social","social","95","0.546","Soccer","Soccer","no","yes","yes","no","no","no","no","no","no","yes","no","NA","yes","yes","yes","no","yes","no","no","10:30:00","6:30:00","The most extreme","NA","-1","-1","10","10","8","12","31","-7",10,8
"21462","male","14","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","2","right","170","26","166","16","34","47","97","82","120","bus","5","3500","3500","two","health","health","40","0.379","Other","Other","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","8","yes","yes","yes","yes","yes","no","no","10:00:00","7:45:00","Comedy inc","NA","13","3","-7","99","88","-17","-34","100",16,10
"7415","female","14","china","CHN","CHN","no","no","no","no","no","no","yes","no","","","","3","right","159","20","154","15","32","NA","65","65","410","walk","17","10","NA","two","arts","mathstats","36","0.406","Dancing","Dancing","no","yes","yes","yes","yes","no","no","no","yes","no","no","60","yes","yes","no","yes","yes","no","no","10:15:00","7:00:00","Kuroshitsuji","NA","62","NA","15","-14","-54","-16","NA","100",3,10
"15188","female","17","Vietnamese","VNM","VNM","no","no","no","no","no","no","no","no","vietnamese","","NA","3","right","152","19","158","14","34","39","85","90","280","bus","15","2000","2000","one","arts","english","49","0.422","Dancing","Dancing","yes","yes","yes","yes","yes","no","no","no","no","no","no","36","no","yes","no","yes","no","no","no","11:30:00","8:00:00","Spongebob square pant","SpongeBob SquarePants","-21","-49","-74","38","99","27","-17","65",3,13
"13654","female","15","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","2","left","169","25","174","14","32","43","80","80","560","motor","7","4300","4300","two","social","english","30","0.39","Netball","Netball","no","yes","yes","no","yes","yes","no","no","yes","no","no","3","yes","yes","yes","yes","yes","no","no","11:00:00","6:45:00","Friends","Friends","37","19","81","-8","51","29","-84","100",3,11
"15080","female","16","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","","","","2","left","159","22","152","15","30","39","70","73","18","walk","10","2100","2100","two","arts","arts","75","0.594","Other","Other","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","no","3","yes","yes","yes","yes","no","no","no","8:30:00","8:00:00","Home and away","Home and Away","-28","-50","-29","4","-1","-18","-38","0",5,11
"2124","female","9","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","130","NA","130","15","NA","36","NA","NA","26","walk","4","23","NA","two","arts","arts","120","2.047","Soccer","Soccer","yes","no","no","no","no","no","no","no","no","no","no","NA","no","no","yes","no","no","no","no","9:30:00","7:30:00","Afv","America's Funniest Home Videos","-98","9","NA","100","-22","73","NA","3",4,5
"1811","female","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","151","20","150","NA","28","39","60","70","330","walk","10","6000","6000","two","social","english","50","0.359","Water sports (swimming, diving, surfing, canoeing, kayaking)","Water sports (swimming, diving, surfing, canoeing, kayaking)","yes","yes","yes","yes","yes","no","no","no","yes","yes","no","5","yes","yes","no","yes","yes","no","no","9:00:00","7:00:00","Masterchef","Masterchef New Zealand","-94","-95","-94","-79","-80","-93","-96","-72",14,9
"7771","female","15","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","left","154","23","159","15","33","39","95","100","43","motor","10","4","NA","two","health","NA","66","0.951","Horse riding","Horse riding","no","yes","yes","yes","yes","yes","yes","no","no","no","no","30","yes","no","no","yes","yes","no","no","9:30:00","7:00:00","Coronation street","Coronation Street","100","57","57","26","100","38","100","100",3,11
"12690","female","10","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","","","","1","right","150","24","155","17","31","38","70","70","390","motor","20","2","NA","two","health","english","47","0.398","Water sports (swimming, diving, surfing, canoeing, kayaking)","Water sports (swimming, diving, surfing, canoeing, kayaking)","no","no","yes","no","no","no","no","no","yes","yes","no","NA","yes","no","yes","no","yes","no","no","8:30:00","7:15:00","Glee","Glee","-32","13","22","-56","-24","-5","-44","98",9,5
"22660","male","11","Canada","CAN","CAN","yes","no","no","no","no","no","no","no","Canadian","","NA","1","ambi","149","24","149","15","30","38","75","70","140","train","26","2000","2000","diagonal","mathstats","arts","53","2.204","Martial arts (karate, judo, taekwondo)","Martial arts (karate, judo, taekwondo)","no","yes","yes","no","no","no","no","no","yes","yes","no","NA","no","no","yes","no","no","no","no","9:15:00","7:30:00","The a-team","NA","97","100","100","100","100","100","100","0",3,7
"18873","male","9","Thailand","THA","THA","no","no","no","no","no","no","no","no","thailand","","NA","5","right","137","20","137","15","34","NA","NA","NA","1","motor","30","201","NA","two","health","arts","104","NA","Soccer","Soccer","no","yes","yes","no","yes","no","no","no","yes","yes","no","5","yes","no","yes","yes","yes","yes","no","18:15:00","6:30:00","Sky sports hilight","SKY Sport","25","-42","-76","10","82","100","44","59",6,5
"20021","female","14","australia","AUS","AUS","yes","no","no","no","no","no","no","no","","","","1","right","169","22","160","14","30","40","NA","NA","380","walk","12","6400","6400","two","languages","english","44","0.344","Racket sports (tennis, squash, badminton)","Racket sports (tennis, squash, badminton)","no","no","yes","no","yes","no","no","no","no","yes","no","17","no","no","no","yes","yes","no","no","10:15:00","6:15:00","Criminal minds","Criminal Minds","73","100","100","100","100","100","100","-62",14,10
"18743","male","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","NA","right","172","26","172","NA","NA","48","70","70","30","bus","50","4000","4000","two","english","science","29","0.421","Rugby","Rugby","yes","yes","yes","yes","yes","no","yes","no","yes","yes","no","9","yes","no","no","no","no","no","no","10:30:00","6:30:00","Family guy","Family Guy","NA","NA","NA","NA","99","NA","NA","9",3,9
"21595","male","9","","NA","NA","yes","no","no","no","no","no","no","no","","","","1","right","140","22","141","16","33","NA","NA","NA","300","walk","9","2","NA","two","mathstats","arts","52","0.438","Soccer","Soccer","no","no","yes","no","no","no","no","yes","no","yes","no","NA","yes","no","yes","yes","no","yes","no","8:30:00","6:30:00","Sounge bob","NA","0","50","95","97","96","60","96","100",3,5
"4673","male","10","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","NA","right","149","NA","145","15","30","NA","75","67","15","bike","10","2000","2000","two","health","technology","51","0.428","Basketball","Basketball","no","yes","yes","no","no","no","no","no","no","yes","no","NA","no","no","yes","no","no","no","no","8:45:00","7:00:00","Star trek original","NA","-39","-26","-40","-89","-27","1","-46","100",3,6
"23472","male","14","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","162","27","165","12","31","42","48","53","14","motor","11","800","800","two","health","arts","41","0.44","Basketball","Basketball","yes","no","yes","yes","yes","no","yes","no","yes","yes","no","6","yes","yes","yes","yes","yes","no","no","10:45:00","7:00:00","Misfits","Misfits","-68","-66","-69","-55","57","-63","-63","-24",18,10
"22845","male","14","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","180","28","189","17","37","49","100","100","135","bike","19","400","400","two","technology","mathstats","34","0.323","Bowling","Bowling","yes","yes","yes","yes","yes","no","no","no","yes","yes","no","71","yes","yes","yes","no","yes","no","no","10:15:00","6:45:00","Comedy inc","NA","48","0","20","-24","12","-43","42","100",4,10
"546","male","16","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","2","right","187","28","176","18","40","44","100","90","47","walk","3","3400","3400","one","technology","health","26","2.359","Rugby","Rugby","yes","yes","yes","yes","yes","no","no","no","yes","yes","no","42","yes","yes","yes","yes","yes","no","no","3:00:00","7:00:00","Anime","NA","NA","NA","NA","NA","1","-46","NA","100",16,12
"5734","female","15","newzealand","NZL","NZL","no","no","no","no","no","no","no","no","NZ Maori","","NA","1","right","167","24","165","16","34","46","NA","NA","330","walk","2","NA","NA","one","health","health","37","0.328","Horse riding","Horse riding","no","yes","yes","yes","yes","no","yes","no","yes","yes","no","4","no","yes","no","yes","no","no","no","10:30:00","7:15:00","Home and away","Home and Away","-5","-4","-34","-15","60","43","-8","41",16,11
"8490","female","11","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","","","","NA","right","150","24","150","16","33","37","90","90","60","walk","10","50","NA","diagonal","arts","health","46","NA","Rugby","Rugby","yes","no","yes","no","yes","no","no","no","no","yes","no","11","no","no","no","yes","no","no","no","8:00:00","6:00:00","Jersey shore","Jersey Shore","100","-57","-46","25","100","-33","-66","-3",3,7
"16004","male","12","newzealand","NZL","NZL","yes","yes","no","no","no","no","no","no","","","","1","right","168","26","170","18","36","44","NA","NA","140","walk","15","3000","3000","one","mathstats","english","64","0.593","Other","Other","yes","yes","yes","yes","yes","no","no","no","yes","yes","no","30","yes","yes","yes","yes","no","no","no","10:30:00","7:00:00","How i met your mother","How I Met Your Mother","28","-51","-92","NA","55","99","-90","-53",14,8
"7421","female","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","NA","22","NA","16","34","45","NA","NA","25","motor","15","2600","2600","one","english","technology","42","0.405","Netball","Netball","yes","yes","yes","no","yes","no","yes","no","no","yes","no","7","yes","yes","yes","yes","no","no","no","10:00:00","7:00:00","No ordinary family","No Ordinary Family","-77","-77","5","-27","36","-55","-64","95",9,9
"6219","female","14","newzealand","NZL","NZL","yes","yes","no","no","no","no","no","no","","","","1","left","175","24","157","16","34","NA","90","95","330","bus","60","750","800","two","health","mathstats","34","0.417","Netball","Netball","yes","yes","yes","yes","yes","no","yes","no","no","no","no","1","yes","yes","yes","yes","yes","no","no","9:30:00","5:30:00","Amtv","NA","100","2","1","-47","100","-75","100","100",5,10
"20554","female","13","newzealand","NZL","NZL","no","no","no","no","no","no","yes","no","","","","1","right","162","23","167","15","31","NA","87","100","340","motor","20","4000","4000","one","arts","mathstats","45","0.452","Walking or hiking","Walking or hiking","no","yes","yes","no","yes","no","no","no","no","yes","no","NA","yes","no","no","yes","yes","no","no","10:45:00","6:45:00","Glee","Glee","60","38","76","-16","39","-39","3","-22",3,9
"22617","female","15","newzealand","NZL","NZL","no","no","no","no","yes","no","no","no","tuvaluan","","NA","2","right","170","22","176","16","35","45","80","78","600","motor","45","40","NA","one","technology","social","34","1.112","Soccer","Soccer","no","yes","yes","yes","yes","yes","no","no","yes","no","no","NA","yes","yes","yes","yes","yes","no","no","8:45:00","6:30:00","Survivor, supernatural","Survivor","0","14","8","2","100","3","100","100",3,11
"240","male","11","southafrica","ZAF","ZAF","yes","no","no","no","no","no","no","no","","","","1","left","NA","22","146","14","28","40","90","90","70","motor","8","1800","1800","two","health","english","52","NA","Rugby","Rugby","no","no","yes","no","no","no","no","no","no","yes","no","NA","no","no","yes","no","no","no","no","8:00:00","7:00:00","Spongebob","SpongeBob SquarePants","-1","-98","100","-2","100","38","NA","NA",4,7
"18080","female","12","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","158","26","157","18","33","43","75","83","400","bike","7","NA","NA","two","health","english","37","0.463","Soccer","Soccer","no","no","yes","no","no","no","no","no","yes","no","no","NA","no","no","yes","yes","yes","no","no","9:00:00","5:30:00","Packed to the rafters","Packed to the Rafters","59","76","27","27","77","-7","-82","47",3,8
"19801","male","NA","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","dutch","Dutch","","3","right","159","22","143","25","NA","NA","NA","NA","30","motor","25","35","NA","two","health","english","NA","0.5","Skateboarding","Skateboarding","yes","yes","yes","yes","yes","no","no","no","yes","yes","no","22","no","no","no","no","yes","no","no","10:15:00","6:45:00","Mtv","MTV","42","47","46","25","52","26","27","48",2,13
"23521","female","14","newzealand","NZL","NZL","no","no","no","no","no","no","yes","no","","","","2","left","154","22","155","14","33","39","70","74","63","motor","5","575","600","two","arts","languages","48","0.516","Basketball","Basketball","no","yes","yes","yes","yes","no","no","no","no","no","no","8","no","yes","yes","yes","yes","no","no","23:45:00","7:45:00","Don't have one","None","50","49","57","47","21","36","2","-24",3,10
"24811","female","13","Korea","KOR","KOR","no","no","no","no","no","no","no","no","Korean","","NA","2","right","157","22","152","NA","NA","37","72","70","370","bus","38","2500","2500","two","arts","social","25","0.343","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","no","yes","yes","no","yes","yes","yes","yes","yes","yes","no","6","yes","yes","yes","yes","no","no","no","9:30:00","6:30:00","City hunter","NA","40","75","25","54","13","34","52","100",3,9
"15574","male","11","Singapore","SGP","SGP","no","no","no","no","no","no","no","no","Singaporean","","NA","2","right","150","24","142","14","32","NA","67","65","58","motor","16","4000","4000","two","science","english","55","0.328","Soccer","Soccer","no","yes","yes","no","no","no","no","no","yes","yes","no","4","yes","yes","yes","yes","yes","no","no","9:15:00","6:30:00","Ren and stimpy","NA","3","-19","30","48","45","56","-39","82",3,7
"16790","male","10","zimbabwe","ZWE","ZWE","no","no","no","no","no","no","no","no","","","","3","right","130","20","151","14","31","NA","60","70","21","bus","6","300","300","one","health","health","60","0.901","Rugby","Rugby","yes","yes","yes","yes","yes","no","no","no","yes","yes","no","1","no","no","no","no","no","no","yes","12:00:00","7:00:00","Nitro cirus","Nitro Circus","13","62","25","56","39","-7","20","100",4,6
"4285","male","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","NA","29","193","18","36","50","NA","NA","150","walk","60","0","0","one","mathstats","english","48","0.397","Basketball","Basketball","yes","yes","yes","yes","yes","no","no","no","yes","no","no","8","yes","yes","yes","yes","yes","no","no","11:00:00","6:00:00","South park","South Park","-71","NA","-47","0","100","-100","-75","66",14,10
"20431","male","15","Myanmar","MMR","MMR","no","no","no","no","no","no","no","no","Chin","","NA","4","right","150","21","151","14","32","NA","65","65","30","bike","25","400","400","two","mathstats","social","72","NA","Soccer","Soccer","yes","no","no","no","yes","no","no","no","no","no","no","NA","no","no","no","yes","yes","no","no","10:45:00","6:30:00","Alzender","NA","NA","NA","NA","NA","NA","NA","NA","NA",18,10
"6589","male","11","newzealand","NZL","NZL","no","no","no","no","no","no","yes","no","","","","2","right","156","25","150","NA","30","NA","NA","NA","80","walk","25","3000","3000","two","mathstats","mathstats","45","0.469","Soccer","Soccer","no","yes","yes","yes","yes","yes","no","no","no","yes","no","5","yes","yes","yes","yes","yes","no","no","10:30:00","5:30:00","The simpsons","The Simpsons","22","33","35","4","27","65","-10","100",3,7
"17586","male","13","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","","","","1","left","169","NA","NA","18","36","44","NA","NA","2","walk","20","20","NA","two","health","health","67","0.749","Rugby","Rugby","yes","no","no","no","yes","no","no","no","no","no","no","5","no","no","no","yes","yes","yes","no","8:30:00","7:15:00","Spongbob squarepants","SpongeBob SquarePants","8","9","9","5","7","7","7","6",9,8
"6028","male","10","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","137","21","137","14","30","32","50","61","50","walk","1","100","NA","two","health","mathstats","50","0.517","Soccer","Soccer","no","yes","yes","no","no","no","no","no","yes","yes","no","NA","yes","yes","yes","yes","no","no","no","10:30:00","4:15:00","The simpsons","The Simpsons","38","81","53","96","100","22","85","-100",9,6
"18971","male","11","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","154","23","140","NA","NA","35","80","80","80","walk","3","2700","2700","two","mathstats","science","52","0.415","Soccer","Soccer","yes","yes","yes","yes","no","no","no","no","yes","yes","no","7","yes","yes","yes","no","no","no","no","10:30:00","7:00:00","Sticky tv","Sticky TV","-48","18","100","79","6","100","NA","15",14,7
"12396","female","15","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","left","160","23","165","14","30","43","80","64","22","NA","8","6500","6500","two","social","arts","40","1.281","Winter sports (skiing, snowboarding, ice skating)","Winter sports (skiing, snowboarding, ice skating)","yes","yes","yes","no","yes","no","no","no","yes","yes","no","30","no","no","no","yes","yes","no","no","10:30:00","6:30:00","Vampire diaries","The Vampire Diaries","39","1","11","-55","80","1","62","-28",5,11
"20270","female","11","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","","","","1","right","147","22","150","14","28","36","65","60","240","walk","20","2000","2000","diagonal","arts","health","47","2.109","Dancing","Dancing","yes","no","no","yes","no","no","yes","no","no","yes","no","6","no","no","no","yes","yes","no","no","9:45:00","7:15:00","Southpark","South Park","49","26","23","14","33","-18","5","-82",4,7
"9203","female","13","england","GBR","GBR","yes","no","no","no","no","no","no","no","","","","1","right","156","18","151","15","30","NA","NA","NA","40","walk","5","45","NA","two","arts","science","43","0.36","Running or jogging","Running or jogging","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","10","yes","yes","no","yes","no","no","no","10:30:00","7:45:00","Friends","Friends","-31","-47","-17","-32","-7","-27","-19","100",14,9
