"","gender","age","country","country_en","country_mi","ethniceng","ethnicmri","ethnicwsm","ethniccok","ethnicton","ethnicniu","ethnicchn","ethnicind","ethnicother","ethnicother_en","ethnicother_mi","languages","handed","height","rightfoot","armspan","wrist","neck","popliteal","indexfinger","ringfinger","hairlength","travel","timetravel","bagweightraw","bagweight","bagcarry","favlearning","favlearningmo","memory","reaction","sport","sport_en","techtv","techmp3","techinternet","techmobinternet","techfacebook","techtwitter","techbebo","techmyspace","techskype","techconsole","technone","cellmonths","onlinemusic","onlinevideo","onlinegame","onlinefriend","onlineschool","onlineother","onlinenone","bedtime","waketime","favtvshow","favtvshow_en","importwarm","importpollution","importrecycling","importwater","importlifestyle","importenergy","importgovern","importcomputer","region","year"
"9337","female","10","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","139","20","140","13","28","40","70","70","320","bus","15","5000","5000","two","mathstats","health","58","0.473","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","yes","yes","yes","no","no","no","no","no","no","yes","no","4","yes","yes","yes","no","no","no","no","8:15:00","7:15:00","Icarly","Icarly","2","58","51","14","69","-3","41","17",6,6
"1455","male","13","england","GBR","GBR","no","no","no","no","no","no","no","no","","","","2","right","173","27","171","17","35","48","110","110","20","bus","45","5300","5300","two","technology","arts","76","0.453","Other","Other","no","no","yes","no","no","no","no","no","no","yes","no","1","no","no","yes","no","no","no","no","9:15:00","7:30:00","Naruto shippuden","Naruto","-41","-100","14","-45","NA","20","NA","100",2,9
"23346","female","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","2","right","155","NA","160","16","31","44","NA","NA","40","bus","NA","25001","NA","two","science","arts","59","0.176","Soccer","Soccer","no","yes","yes","no","yes","no","yes","no","yes","yes","no","NA","yes","yes","yes","yes","yes","no","no","10:00:00","5:45:00","Gossip girl","Gossip Girl","-49","100","100","100","100","100","100","NA",3,9
"10312","female","12","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","142","20","NA","15","29","39","60","70","730","bus","60","3500","3500","two","health","arts","44","0.413","Netball","Netball","no","yes","no","no","no","no","no","no","no","yes","no","17","no","no","no","no","no","no","yes","9:30:00","6:30:00","Shortland street","Shortland Street","24","81","82","53","97","62","38","-53",14,8
"8402","male","16","samoa","WSM","WSM","no","no","yes","no","no","no","no","no","","","","2","left","179","26","185","17","35","47","104","117","200","walk","10","2000","2000","two","arts","mathstats","36","0.36","Martial arts (karate, judo, taekwondo)","Martial arts (karate, judo, taekwondo)","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","24","yes","yes","yes","yes","yes","no","no","12:30:00","7:30:00","Penguins of madacascar","NA","-3","-11","46","23","87","41","35","100",3,13
"2068","male","12","ethiopai","ETH","ETH","no","no","no","no","no","no","no","no","oromo","","NA","NA","right","150","22","149","16","28","NA","81","82","10","walk","10","10","NA","diagonal","health","science","43","0.969","Rugby","Rugby","no","no","no","no","no","no","no","no","no","yes","no","12","no","no","yes","yes","no","no","yes","10:45:00","5:45:00","Home and away","Home and Away","-100","NA","-100","NA","-8","NA","NA","100",10,8
"6404","male","14","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","","","","2","right","NA","26","NA","18","35","52","116","111","119","bus","20","NA","NA","two","languages","languages","32","1.216","Kapahaka","Kapahaka","yes","no","yes","no","yes","no","yes","no","yes","yes","no","NA","no","no","no","yes","no","no","no","11:00:00","6:00:00","Big bang theory","The Big Bang Theory","79","100","71","79","71","80","99","-98",6,9
"18305","female","14","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","","","","2","right","170","25","172","17","35","48","90","80","52","motor","35","82","NA","one","health","mathstats","30","0.766","Netball","Netball","no","yes","yes","no","yes","no","yes","no","no","yes","no","4","yes","yes","no","yes","no","no","no","12:15:00","7:45:00","Jersey shore","Jersey Shore","-75","-7","-96","64","-61","100","-84","100",10,10
"8816","female","13","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","left","167","26","160","17","39","43","95","105","48","bus","40","2000","2000","hand","mathstats","arts","48","0.499","Netball","Netball","yes","yes","yes","yes","yes","no","no","no","yes","yes","no","5","yes","yes","yes","yes","yes","no","no","10:30:00","8:00:00","Glee","Glee","-8","55","62","52","73","55","39","100",14,9
"6395","male","10","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","134","21","130","15","NA","37","80","80","170","walk","4","200","NA","two","mathstats","english","41","0.389","Rugby","Rugby","no","no","yes","no","yes","no","no","no","yes","yes","no","NA","no","yes","yes","yes","no","no","no","8:30:00","6:45:00","The footy show","NA","77","100","85","6","86","67","5","100",3,5
