Course,Gender,Element,Zodiac,Season,NumCountries,Ethnicity,WeightActual,WeightIdeal,WeightDiff,Vote,Religion,Driving,NumYears,Speed,Tickets,Looks,Intelligence,SocialMedia,DayBorn,Under20,TxtSent,StudentLoan,DrinkSpend,DrinkCount,Earning,Work,Confidence,Extravagance,Shoes
S101,Female,Water,Cancer,Winter,3,Chinese,53,49,4,None,No,Poor,5,0,No,7.9,7.9,30,Tuesday,No,30,No,None,None,Low,Yes,55.2,33.9,10
S101,Female,Air,Libra,Spring,6,Chinese,55,50,5,National,No,Average,19,80,No,2.2,4.4,330,Saturday,No,4,No,None,None,DontKnow,No,33.7,64.9,10
S101,Male,Earth,Taurus,Autumn,0,Other,47,65,-18,None,Yes,Poor,14,0,No,5.1,6.8,40,Saturday,Yes,20,Yes,None,Low,Low,No,38.9,44.7,2
S108,Female,Fire,Leo,Winter,2,Indian,58,50,8,Labour,Yes,AboveAverage,17,0,No,5.2,6.2,180,Tuesday,Yes,3,Yes,None,None,Medium,No,47.2,52.7,5
S101,Female,Water,Cancer,Winter,11,Other,55,50,5,National,Yes,AboveAverage,3,100,No,2.1,5.1,210,Thursday,Yes,50,No,High,Low,DontKnow,No,36.7,76.9,16
S108,Female,Water,Scorpio,Spring,3,Indian,60,55,5,Labour,Yes,Poor,5,0,No,5.1,7.8,120,Tuesday,Yes,10,No,None,None,Medium,No,50.5,52.2,30
S101,Female,Air,Aquarius,Summer,4,Maori/P.I.,101,90,11,Labour,Yes,Excellent,22,60,No,5.5,5.1,210,Thursday,No,10,Yes,None,None,Low,Yes,33.1,53.2,60
S108,Female,Fire,Sagittarius,Summer,8,NZ.European,50,50,0,National,Yes,AboveAverage,19,120,No,6.4,6.5,600,Friday,No,50,Yes,Low,Low,DontKnow,Yes,58.9,68.1,12
S108,Male,Air,Gemini,Winter,3,Chinese,80,68,12,Other,No,Average,17,100,No,5.2,5.1,306,Saturday,Yes,20,Yes,None,None,Medium,No,41.4,65.1,7
S108,Male,Air,Aquarius,Summer,4,NZ.European,83,87,-4,National,Yes,AboveAverage,18,120,No,7.5,6,75,Friday,Yes,35,Yes,High,Low,High,Yes,57.6,60.2,8
S101,Female,Fire,Leo,Winter,1,NZ.European,57,55,2,None,No,BelowAverage,19,0,No,6.2,7.9,120,Thursday,No,20,Yes,Low,Low,Medium,Yes,56.8,48.5,16
S101,Female,Water,Cancer,Winter,4,NZ.European,52,55,-3,Green,Yes,Average,18,110,No,6.5,5,30,Monday,Yes,5,Yes,Low,Low,Medium,No,49.1,56.2,4
