Order,Latitude,Longitude,Depth,Felt,Magnitude,RMS,NorMidSth,Month,Day,Hour,Minute
120,-37.97412157,176.6552442,-144,Y,5.43,0.15,North,5,17,9,10
121,-38.45667572,175.7775693,-172,N,4.19,0.229,North,5,19,7,50
122,-40.09753679,173.6369126,-211,N,4.382,0.262,North,5,20,5,28
123,-41.22901602,173.6757281,-79,Y,4.239,0.193,North,5,22,21,16
124,-44.8676394,167.0261048,-5,N,4.395,0.157,South,5,23,13,52
125,-36.11062158,178.1020254,-175,N,4.361,0.194,North,5,24,1,44
126,-38.19294237,176.0931826,-181,N,4.166,0.235,North,5,27,21,8
127,-38.84120252,175.1894428,-217,N,4.185,0.199,North,5,28,19,58
128,-40.76550588,174.0369192,-73,Y,4.36,0.276,North,6,1,6,22
129,-36.61946416,177.4941504,-208,N,4.443,0.126,North,6,1,20,55
130,-35.85370698,178.4281704,-229,N,4.927,0.195,North,6,1,21,50
131,-38.13308702,176.9490846,-74,N,4.697,0.211,North,6,1,22,25
132,-45.09497619,167.4969342,-93,Y,4.78,0.242,South,6,5,19,52
133,-36.66766264,177.4223886,-203,N,4.178,0.136,North,6,5,20,22
134,-37.35053326,177.8356172,-12,N,4.13,0.451,North,6,7,7,46
135,-37.97894877,177.7397723,-72,Y,5.282,0.157,North,6,7,8,51
136,-38.09106152,176.2599829,-149,N,4.038,0.213,North,6,8,8,3
137,-38.25990306,175.9347009,-180,N,4.015,0.219,North,6,8,23,43
138,-38.54240423,177.9548333,-45,N,4.187,0.297,North,6,9,4,29
139,-38.537764,177.9368133,-45,N,4.251,0.289,North,6,9,5,48
140,-45.54045283,166.1944551,-12,N,4.084,0.19,South,6,13,21,31
141,-45.51546927,166.3416083,-12,N,4.621,0.206,South,6,15,6,39
142,-38.01053034,176.2968426,-164,N,4.718,0.15,North,6,16,13,49
143,-40.39038356,176.6597421,-33,N,4.049,0.215,North,6,18,12,26
144,-36.86893448,177.4330807,-154,N,4.1,0.172,North,6,18,14,4
145,-36.79924407,177.0108797,-240,N,4.036,0.225,North,6,19,8,55
146,-45.3318861,166.6786799,-12,N,4.899,0.328,South,6,20,11,20
147,-36.86831156,176.7532938,-275,N,4.293,0.2,North,6,21,22,8
148,-41.58829239,174.4240735,-20,Y,4.41,0.143,North,6,23,1,42
149,-37.338513,177.8141476,-89,N,4.528,0.213,North,6,26,0,20
150,-40.3939236,176.6621121,-33,Y,4.034,0.2,North,6,28,18,54
151,-35.48337606,178.4355689,-229,N,4.006,0.127,North,6,28,19,51
152,-38.04865276,176.6160537,-118,N,4.156,0.115,North,6,29,9,25
153,-45.04397382,167.5238939,-126,N,4.186,0.238,South,6,30,6,55
154,-38.69327984,175.2390028,-203,N,4.218,0.257,North,6,30,10,36
155,-38.02374026,176.1103616,-205,N,4.507,0.222,North,7,2,3,30
156,-36.93438498,177.4311787,-191,N,4.059,0.32,North,7,3,5,49
157,-40.55838551,173.0208326,-198,N,4.033,0.18,North,7,4,20,14
158,-40.55143957,173.440612,-165,N,4.531,0.218,North,7,7,3,28
159,-37.29562907,177.4590501,-144,N,4.141,0.181,North,7,7,18,37
160,-38.05759119,176.3214429,-164,N,4.534,0.208,North,7,11,17,1
161,-45.30768422,166.7374006,-5,N,4.185,0.353,South,7,13,21,38
162,-38.97416429,175.2225836,-144,N,4.694,0.17,North,7,14,19,47
163,-37.43425498,178.0170147,-52,N,4.696,0.209,North,7,17,6,14
164,-37.13021657,178.4358298,-33,N,4.449,0.165,North,7,17,15,35
165,-40.23593694,173.5283287,-165,N,4.367,0.175,North,7,18,6,44
166,-37.25225095,176.8348592,-230,N,4.44,0.064,North,7,18,18,55
167,-36.58237423,177.5567029,-12,N,4.147,0.834,North,7,20,12,50
168,-39.19740017,174.7308241,-209,N,4.485,0.222,North,7,21,13,23
169,-39.35252159,174.8391663,-25,Y,4.356,0.161,North,7,21,16,49
170,-39.16038687,175.2401651,-70,N,4.003,0.305,North,7,21,16,50
171,-38.27699347,176.1539431,-178,N,4.131,0.204,North,7,24,1,13
172,-38.89671225,175.3767743,-170,N,4.083,0.2,North,7,24,5,57
173,-37.94699087,176.5963636,-151,N,4.032,0.165,North,7,24,15,47
174,-40.43829102,177.3302809,-30,N,4.062,0.155,North,7,26,20,21
175,-39.21539965,174.8675946,-193,N,4.062,0.132,North,7,26,22,27
176,-37.76756112,176.9694663,-138,N,4.185,0.478,North,7,27,5,8
177,-37.83388722,177.5890926,-65,N,4.08,0.167,North,7,27,22,45
178,-35.82005846,177.7193419,-192,N,4.127,0.142,North,7,30,22,47
179,-37.99090217,176.7159548,-137,N,4.307,0.169,North,7,31,3,16
180,-36.97355871,177.0630459,-266,N,4.454,0.184,North,8,2,15,0
181,-38.13777714,176.9541346,-74,Y,4.616,0.186,North,8,4,18,39
182,-38.19607317,176.3412634,-160,N,4.279,0.22,North,8,5,8,0
183,-35.86975692,177.2329896,-12,N,4.425,0.049,North,8,7,1,47
184,-39.1545158,176.2805334,-50,Y,6.14,0.174,North,8,8,10,31
185,-39.06472426,176.1685923,-56,N,4.648,0.079,North,8,8,10,33
186,-45.68587786,167.5129693,-12,N,4.202,0.273,South,8,8,16,20
187,-44.11313298,168.7238724,-12,N,4.07,0.16,South,8,9,4,31
188,-38.69415382,174.5597571,-21,Y,4.243,0.274,North,8,11,8,53
189,-38.64891813,176.1150918,-126,N,5.015,0.198,North,8,12,6,22
190,-37.90839048,176.6827248,-144,N,4.316,0.198,North,8,12,15,13
191,-39.67394798,173.9598126,-203,N,4.707,0.259,North,8,13,10,16
192,-38.15739277,176.3516033,-167,N,4.091,0.201,North,8,13,22,45
193,-37.33823114,176.6958373,-200,N,4.643,0.178,North,8,14,9,17
194,-40.84037393,175.2510739,-33,Y,4.633,0.165,North,8,14,14,2
195,-38.46872646,176.1734025,-133,N,4.106,0.214,North,8,16,5,0
196,-37.23055829,176.6180576,-228,N,4.143,0.127,North,8,17,6,54
197,-38.39543523,176.050642,-153,N,4.047,0.13,North,8,17,7,26
198,-36.30500659,177.532466,-221,N,4.016,0.145,North,8,18,4,14
199,-37.6476769,176.723175,-163,N,4.014,0.139,North,8,18,18,34
200,-38.15245381,176.4923731,-142,N,4.445,0.202,North,8,19,4,36
201,-36.94350945,177.6842674,-138,N,4.6,0.159,North,8,19,9,20
202,-36.92019874,177.1238579,-203,N,4.223,0.165,North,8,20,10,50
203,-38.75968912,175.8808299,-136,N,4.209,0.207,North,8,23,4,35
204,-44.96595855,168.0924197,-63,Y,4.175,0.146,South,8,24,9,59
205,-37.73617599,176.0686509,-269,N,4.114,0.223,North,8,24,15,16
206,-44.78517016,169.6885314,-5,N,4.421,0.191,South,8,28,2,16
207,-38.2679398,177.2218738,-57,N,4.007,0.13,North,8,28,14,0
208,-45.06865466,167.595247,-117,Y,5.29,0.165,South,8,29,3,50
209,-44.94830946,167.4986707,-115,N,4.268,0.23,South,8,29,8,35
210,-38.15779226,176.2346231,-155,N,4.091,0.148,North,8,30,11,3
211,-38.02835386,178.6431146,-53,N,4.124,0.184,North,8,30,13,38
212,-45.22400174,167.4795368,-132,N,4.037,0.226,South,8,30,17,52
213,-39.0549973,174.9405827,-221,N,4.393,0.232,North,9,1,15,10
214,-45.22795358,167.2882216,-59,Y,4.141,0.183,South,9,5,21,30
215,-37.2519753,177.197301,-5,N,4.752,0.26,North,9,6,15,44
216,-37.59643529,176.6298646,-165,N,4.246,0.188,North,9,6,20,48
217,-38.81931068,177.4318555,-30,Y,4.472,0.165,North,9,7,10,29
218,-38.81266004,175.9669202,-105,N,4.075,0.244,North,9,8,5,5
219,-40.20673083,176.0939827,-56,Y,4.371,0.189,North,9,10,2,13
220,-41.25356112,172.783917,-149,N,4.294,0.277,North,9,11,3,12
221,-38.53478661,175.387704,-223,N,4.527,0.204,North,9,11,10,16
222,-37.75088882,178.2895544,-48,N,4.101,0.088,North,9,11,14,20
223,-37.14950676,177.4071133,-136,N,4.201,0.155,North,9,12,7,8
224,-37.29564099,177.6353695,-111,N,4.154,0.116,North,9,12,11,49
225,-37.7839492,178.2654143,-64,N,4.618,0.189,North,9,16,2,37
226,-44.62168419,167.732667,-32,N,4.494,0.133,South,9,16,18,56
227,-38.09646155,176.2202128,-152,N,4.238,0.116,North,9,19,17,9
228,-37.32731578,177.1399597,-129,N,4.079,0.155,North,9,20,19,26
229,-38.28899342,176.0505323,-156,N,4.028,0.217,North,9,22,10,48
